-2.000000,0.999481
-1.984375,0.999954
-1.968750,0.999558
-1.953125,1.000076
-1.937500,0.999647
-1.921875,1.000425
-1.906250,0.999430
-1.890625,0.999946
-1.875000,0.999630
-1.859375,1.000090
-1.843750,1.000252
-1.828125,1.000007
-1.812500,1.000305
-1.796875,0.999875
-1.781250,0.999964
-1.765625,0.999827
-1.750000,0.999825
-1.734375,1.000003
-1.718750,0.999939
-1.703125,0.999551
-1.687500,0.999756
-1.671875,0.999994
-1.656250,1.000266
-1.640625,1.000738
-1.625000,0.999745
-1.609375,0.999691
-1.593750,1.000341
-1.578125,0.999743
-1.562500,0.999791
-1.546875,0.999849
-1.531250,0.999792
-1.515625,0.999954
-1.500000,0.999987
-1.484375,1.000121
-1.468750,0.999858
-1.453125,0.999712
-1.437500,0.999824
-1.421875,0.999694
-1.406250,0.999449
-1.390625,0.999623
-1.375000,0.999869
-1.359375,0.999772
-1.343750,1.000097
-1.328125,1.000180
-1.312500,0.999957
-1.296875,0.999939
-1.281250,0.999481
-1.265625,0.999690
-1.250000,0.999623
-1.234375,0.999510
-1.218750,0.999748
-1.203125,0.999617
-1.187500,0.999827
-1.171875,0.999243
-1.156250,0.999659
-1.140625,0.999461
-1.125000,0.999424
-1.109375,0.999599
-1.093750,0.999583
-1.078125,0.999162
-1.062500,0.999064
-1.046875,0.998896
-1.031250,0.998571
-1.015625,0.998728
-1.000000,0.998393
-0.984375,0.997440
-0.968750,0.996308
-0.953125,0.994982
-0.937500,0.992981
-0.921875,0.988504
-0.906250,0.976757
-0.890625,0.961539
-0.875000,0.957208
-0.859375,0.957058
-0.843750,0.958993
-0.828125,0.972848
-0.812500,0.984598
-0.796875,0.990676
-0.781250,0.993859
-0.765625,0.996066
-0.750000,0.996661
-0.734375,0.997061
-0.718750,0.997535
-0.703125,0.998009
-0.687500,0.998283
-0.671875,0.998260
-0.656250,0.998353
-0.640625,0.997263
-0.625000,0.997546
-0.609375,0.996446
-0.593750,0.995006
-0.578125,0.992430
-0.562500,0.987121
-0.546875,0.974929
-0.531250,0.966718
-0.515625,0.970712
-0.500000,0.968330
-0.484375,0.969666
-0.468750,0.981635
-0.453125,0.990208
-0.437500,0.994014
-0.421875,0.996017
-0.406250,0.997548
-0.390625,0.997386
-0.375000,0.997993
-0.359375,0.998512
-0.343750,0.998206
-0.328125,0.998874
-0.312500,0.998480
-0.296875,0.998360
-0.281250,0.998451
-0.265625,0.997893
-0.250000,0.997880
-0.234375,0.996433
-0.218750,0.995029
-0.203125,0.989296
-0.187500,0.981683
-0.171875,0.982342
-0.156250,0.984122
-0.140625,0.980528
-0.125000,0.983253
-0.109375,0.991274
-0.093750,0.994980
-0.078125,0.996261
-0.062500,0.997964
-0.046875,0.998057
-0.031250,0.997699
-0.015625,0.997667
0.000000,0.997210
0.015625,0.997352
0.031250,0.996532
0.046875,0.994976
0.062500,0.989686
0.078125,0.982027
0.093750,0.981950
0.109375,0.984773
0.125000,0.980310
0.140625,0.982954
0.156250,0.991074
0.171875,0.994884
0.187500,0.997183
0.203125,0.998263
0.218750,0.998218
0.234375,0.998639
0.250000,0.998368
0.265625,0.998601
0.281250,0.998316
0.296875,0.998900
0.312500,0.998684
0.328125,0.997939
0.343750,0.997426
0.359375,0.996841
0.375000,0.995678
0.390625,0.993316
0.406250,0.989218
0.421875,0.978665
0.437500,0.968126
0.453125,0.970167
0.468750,0.970730
0.484375,0.967215
0.500000,0.977286
0.515625,0.987975
0.531250,0.993931
0.546875,0.995717
0.562500,0.996645
0.578125,0.997605
0.593750,0.997826
0.609375,0.997701
0.625000,0.997925
0.640625,0.998500
0.656250,0.997538
0.671875,0.997745
0.687500,0.997556
0.703125,0.996261
0.718750,0.995810
0.734375,0.994081
0.750000,0.990680
0.765625,0.983296
0.781250,0.970274
0.796875,0.957570
0.812500,0.958857
0.828125,0.958038
0.843750,0.962757
0.859375,0.978183
0.875000,0.988153
0.890625,0.992910
0.906250,0.995436
0.921875,0.996616
0.937500,0.997430
0.953125,0.998177
0.968750,0.998750
0.984375,0.998958
1.000000,0.999165
1.015625,0.999252
1.031250,0.999210
1.046875,0.999460
1.062500,0.999645
1.078125,0.999688
1.093750,0.999166
1.109375,0.999433
1.125000,0.999494
1.140625,0.999962
1.156250,0.999349
1.171875,1.000607
1.187500,0.999989
1.203125,0.999736
1.218750,0.999809
1.234375,0.999475
1.250000,0.999821
1.265625,0.999751
1.281250,0.999919
1.296875,0.999819
1.312500,0.999789
1.328125,0.999962
1.343750,1.000146
1.359375,0.999876
1.375000,0.999781
1.390625,0.999948
1.406250,0.999872
1.421875,1.000045
1.437500,0.999514
1.453125,0.999711
1.468750,0.999728
1.484375,1.000206
1.500000,0.999941
1.515625,0.999742
1.531250,0.999818
1.546875,0.999835
1.562500,0.999940
1.578125,0.999667
1.593750,1.000119
1.609375,1.000167
1.625000,1.000251
1.640625,0.999780
1.656250,1.000062
1.671875,1.000427
1.687500,1.000137
1.703125,1.000348
1.718750,0.999859
1.734375,1.000206
1.750000,1.000207
1.765625,0.999950
1.781250,1.000031
1.796875,1.000341
1.812500,1.000029
1.828125,1.000298
1.843750,0.999876
1.859375,0.999932
1.875000,1.000232
1.890625,0.999751
1.906250,0.999670
1.921875,1.000389
1.937500,1.000569
1.953125,0.999843
1.968750,0.499851
