x,y,best_fit,Sextet_1
-5.000000e-01,9.683300e-01,9.694792e-01,3.052078e-02
-4.843750e-01,9.696660e-01,9.777209e-01,2.227907e-02
-4.687500e-01,9.816350e-01,9.848951e-01,1.510487e-02
-4.531250e-01,9.902080e-01,9.895353e-01,1.046475e-02
-4.375000e-01,9.940140e-01,9.923842e-01,7.615813e-03
-4.218750e-01,9.960170e-01,9.941635e-01,5.836482e-03
-4.062500e-01,9.975480e-01,9.953074e-01,4.692614e-03
-3.906250e-01,9.973860e-01,9.960577e-01,3.942333e-03
-3.750000e-01,9.979930e-01,9.965489e-01,3.451057e-03
-3.593750e-01,9.985120e-01,9.968561e-01,3.143863e-03
-3.437500e-01,9.982060e-01,9.970188e-01,2.981217e-03
-3.281250e-01,9.988740e-01,9.970524e-01,2.947567e-03
-3.125000e-01,9.984800e-01,9.969523e-01,3.047748e-03
-2.968750e-01,9.983600e-01,9.966902e-01,3.309791e-03
-2.812500e-01,9.984510e-01,9.962043e-01,3.795651e-03
-2.656250e-01,9.978930e-01,9.953753e-01,4.624694e-03
-2.500000e-01,9.978800e-01,9.939835e-01,6.016497e-03
-2.343750e-01,9.964330e-01,9.916638e-01,8.336218e-03
-2.187500e-01,9.950290e-01,9.880620e-01,1.193797e-02
-2.031250e-01,9.892960e-01,9.840286e-01,1.597138e-02
-1.875000e-01,9.816830e-01,9.831728e-01,1.682721e-02
-1.718750e-01,9.823420e-01,9.866331e-01,1.336694e-02
-1.562500e-01,9.841220e-01,9.906694e-01,9.330601e-03
-1.406250e-01,9.805280e-01,9.934721e-01,6.527918e-03
-1.250000e-01,9.832530e-01,9.952009e-01,4.799052e-03
-1.093750e-01,9.912740e-01,9.962644e-01,3.735612e-03
-9.375000e-02,9.949800e-01,9.969331e-01,3.066927e-03
-7.812500e-02,9.962610e-01,9.973597e-01,2.640303e-03
-6.250000e-02,9.979640e-01,9.976286e-01,2.371442e-03
-4.687500e-02,9.980570e-01,9.977861e-01,2.213903e-03
-3.125000e-02,9.976990e-01,9.978568e-01,2.143179e-03
-1.562500e-02,9.976670e-01,9.978510e-01,2.148958e-03
0.000000e+00,9.972100e-01,9.977679e-01,2.232067e-03
1.562500e-02,9.973520e-01,9.975953e-01,2.404710e-03
3.125000e-02,9.965320e-01,9.973059e-01,2.694113e-03
4.687500e-02,9.949760e-01,9.968488e-01,3.151229e-03
6.250000e-02,9.896860e-01,9.961316e-01,3.868420e-03
7.812500e-02,9.820270e-01,9.949871e-01,5.012908e-03
9.375000e-02,9.819500e-01,9.931219e-01,6.878071e-03
1.093750e-01,9.847730e-01,9.901192e-01,9.880807e-03
1.250000e-01,9.803100e-01,9.859701e-01,1.402988e-02
1.406250e-01,9.829540e-01,9.829633e-01,1.703667e-02
1.562500e-01,9.910740e-01,9.845545e-01,1.544545e-02
1.718750e-01,9.948840e-01,9.886954e-01,1.130455e-02
1.875000e-01,9.971830e-01,9.920991e-01,7.900936e-03
2.031250e-01,9.982630e-01,9.942472e-01,5.752825e-03
2.187500e-01,9.982180e-01,9.955325e-01,4.467522e-03
2.343750e-01,9.986390e-01,9.962976e-01,3.702434e-03
2.500000e-01,9.983680e-01,9.967430e-01,3.256960e-03
2.656250e-01,9.986010e-01,9.969772e-01,3.022814e-03
2.812500e-01,9.983160e-01,9.970556e-01,2.944392e-03
2.968750e-01,9.989000e-01,9.970023e-01,2.997695e-03
3.125000e-01,9.986840e-01,9.968190e-01,3.181043e-03
3.281250e-01,9.979390e-01,9.964867e-01,3.513281e-03
3.437500e-01,9.974260e-01,9.959616e-01,4.038404e-03
3.593750e-01,9.968410e-01,9.951615e-01,4.838502e-03
3.750000e-01,9.956780e-01,9.939392e-01,6.060787e-03
3.906250e-01,9.933160e-01,9.920299e-01,7.970123e-03
4.062500e-01,9.892180e-01,9.889600e-01,1.104004e-02
4.218750e-01,9.786650e-01,9.839655e-01,1.603448e-02
4.375000e-01,9.681260e-01,9.764146e-01,2.358541e-02
4.531250e-01,9.701670e-01,9.685185e-01,3.148151e-02
4.687500e-01,9.707300e-01,9.677704e-01,3.222962e-02
4.843750e-01,9.672150e-01,9.751140e-01,2.488597e-02
5.000000e-01,9.772860e-01,9.829353e-01,1.706474e-02
5.156250e-01,9.879750e-01,9.882305e-01,1.176947e-02
5.312500e-01,9.939310e-01,9.914725e-01,8.527533e-03
5.468750e-01,9.957170e-01,9.934576e-01,6.542421e-03
5.625000e-01,9.966450e-01,9.946969e-01,5.303096e-03
5.781250e-01,9.976050e-01,9.954769e-01,4.523099e-03
5.937500e-01,9.978260e-01,9.959555e-01,4.044518e-03
6.093750e-01,9.977010e-01,9.962194e-01,3.780624e-03
6.250000e-01,9.979250e-01,9.963139e-01,3.686098e-03
6.406250e-01,9.985000e-01,9.962575e-01,3.742508e-03
6.562500e-01,9.975380e-01,9.960476e-01,3.952415e-03
6.718750e-01,9.977450e-01,9.956606e-01,4.339375e-03
6.875000e-01,9.975560e-01,9.950463e-01,4.953695e-03
7.031250e-01,9.962610e-01,9.941137e-01,5.886264e-03
7.187500e-01,9.958100e-01,9.927035e-01,7.296450e-03
7.343750e-01,9.940810e-01,9.905336e-01,9.466414e-03
7.500000e-01,9.906800e-01,9.870975e-01,1.290254e-02
7.656250e-01,9.832960e-01,9.815101e-01,1.848987e-02
7.812500e-01,9.702740e-01,9.725201e-01,2.747992e-02
7.968750e-01,9.575700e-01,9.601305e-01,3.986946e-02
8.125000e-01,9.588570e-01,9.512879e-01,4.871207e-02
8.281250e-01,9.580380e-01,9.562956e-01,4.370440e-02
8.437500e-01,9.627570e-01,9.688745e-01,3.112554e-02
8.593750e-01,9.781830e-01,9.792307e-01,2.076930e-02
8.750000e-01,9.881530e-01,9.858650e-01,1.413496e-02
8.906250e-01,9.929100e-01,9.899684e-01,1.003157e-02
9.062500e-01,9.954360e-01,9.925762e-01,7.423752e-03
